,roles,companies,locations,experience,skills
0,Service Desk Engineer,Wipro,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' navi mumbai', ' mysore/mysuru', ' bangalore/bengaluru', ' mumbai (all areas)', ' pune']",0-5 Yrs,"['communication skills', 'customer support', 'service desk', 'customer service', 'it helpdesk', 'voice process', 'it support', 'system support']"
1,Technical Support Engineer,Wipro,"['hyderabad/secunderabad', ' navi mumbai', ' pune', ' bangalore/bengaluru']",0-5 Yrs,"['installation', 'configuration', 'troubleshooting', 'customer support', 'technical support', 'vpn', 'mac', 'active directory']"
2,Content Developer Associate Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",2-5 Yrs,"['product management', 'business process', 'consulting', 'agile', 'proposal development', 'communication', 'written', 'interpersonal skills']"
3,Analytics and Modeling Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",6-11 Yrs,"['jquery', 'xml', 'project management', 'javascript', 'agile', 'data analysis', 'consulting', 'spss']"
4,Content Lead - Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",8-13 Yrs,"['product management', 'business process', 'consulting', 'agile', 'marketing communication', 'interpersonal skills', 'sales enablement', 'content development']"
5,Product & Content Developer Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",2-5 Yrs,"['product management', 'business process', 'agile', 'marketing strategy', 'technology operations', 'communication', 'written', 'strategy consulting']"
6,Mobility Compliance Senior Analyst,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",4-7 Yrs,"['business process', 'consulting', 'auditing', 'business operations', 'customer interaction', 'operational excellence', 'hp data protector', 'standard operating procedures']"
7,HCL Hiring Mulesoft Developer || PAN India || 3-Dec Virtual drive,HCLTech,"['hybrid - noida', ' kolkata', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",6-11 Yrs,"['mulesoft developer', 'xpath', 'mulesoft integration', 'xml', 'mule esb', 'j2ee', 'jmeter']"
8,E2E Solution Designer / Solution Architect/Business analyst (oss/bss),Tech Mahindra,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",4-9 Yrs,"['e2e solution design', 'solution architecting', 'oss / bss', 'telecom', 'component design', 'etom']"
9,Presales Architect,Tech Mahindra,"['kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",12-17 Yrs,"['presales consulting', 'siem', 'cyber security', 'managed security services', 'security operations', 'shared services']"
10,Instructional Designer,Accenture,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['instructional design', 'instructional designing', 'articulate', 'walkme', 'lectora', 'development', 'captivate', 'camtasia']"
11,Risk & Compliance Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",3-6 Yrs,"['business process', 'financial analysis', 'risk assessment', 'consulting', 'risk management', 'regulatory compliance', 'forensic', 'fraud investigation']"
12,CN - Strategy - MC - Comms & Media - Networks - 09,Accenture,"['mumbai', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' bangalore/bengaluru', ' delhi / ncr']",1-6 Yrs,"['network operations', 'network planning', 'network deployment', 'wan', 'google cloud platform', 'lan', 'agile', 'ccna']"
13,CN - Strategy - MC - Comms & Media - Non Networks - 09,Accenture,"['mumbai', ' new delhi', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' bangalore/bengaluru']",1-6 Yrs,"['comms & medi', 'wireless', 'telecom', 'pmp', 'bss', 'business analysis', 'billing', 'agile']"
14,Analytics and Modeling Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",12-14 Yrs,"['project management', 'consulting', 'project planning', 'ms office', 'analytics', 'powerbi', 'sharepoint', 'tabluea']"
15,Analystics & Modeling Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",6-8 Yrs,"['bfsi', 'consulting', 'machine learning', 'open source', 'python', 'business process', 'market research', 'outsourcing']"
16,Data & AI Compliance Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",2-3 Yrs,"['business process', 'data management', 'project management', 'consulting', 'auditing', 'information security', 'data governance', 'data privacy']"
17,Analytics and Modeling Analyst,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",3-5 Yrs,"['business process', 'data analysis', 'consulting', 'ms office', 'secondary research', 'outsourcing', 'continuous improvement', 'hr analytics']"
18,CDTS Analyst,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",1-4 Yrs,"['due diligence', 'costing', 'us gaap', 'corporate finance', 'financial services', 'business process', 'transaction services', 'cma']"
19,Content Developer Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",3-8 Yrs,"['product management', 'business process', 'consulting', 'agile', 'proposal development', 'interpersonal skills', 'team leading', 'sales enablement']"
20,Service Desk Engineer,Wipro,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' navi mumbai', ' mysore/mysuru', ' bangalore/bengaluru', ' mumbai (all areas)', ' pune']",0-5 Yrs,"['communication skills', 'customer support', 'service desk', 'customer service', 'it helpdesk', 'voice process', 'it support', 'system support']"
21,Technical Support Engineer,Wipro,"['hyderabad/secunderabad', ' navi mumbai', ' pune', ' bangalore/bengaluru']",0-5 Yrs,"['installation', 'configuration', 'troubleshooting', 'customer support', 'technical support', 'vpn', 'mac', 'active directory']"
22,Content Developer Associate Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",2-5 Yrs,"['product management', 'business process', 'consulting', 'agile', 'proposal development', 'communication', 'written', 'interpersonal skills']"
23,Analytics and Modeling Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",6-11 Yrs,"['jquery', 'xml', 'project management', 'javascript', 'agile', 'data analysis', 'consulting', 'spss']"
24,Content Lead - Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",8-13 Yrs,"['product management', 'business process', 'consulting', 'agile', 'marketing communication', 'interpersonal skills', 'sales enablement', 'content development']"
25,Product & Content Developer Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",2-5 Yrs,"['product management', 'business process', 'agile', 'marketing strategy', 'technology operations', 'communication', 'written', 'strategy consulting']"
26,Mobility Compliance Senior Analyst,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",4-7 Yrs,"['business process', 'consulting', 'auditing', 'business operations', 'customer interaction', 'operational excellence', 'hp data protector', 'standard operating procedures']"
27,HCL Hiring Mulesoft Developer || PAN India || 3-Dec Virtual drive,HCLTech,"['hybrid - noida', ' kolkata', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",6-11 Yrs,"['mulesoft developer', 'xpath', 'mulesoft integration', 'xml', 'mule esb', 'j2ee', 'jmeter']"
28,E2E Solution Designer / Solution Architect/Business analyst (oss/bss),Tech Mahindra,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",4-9 Yrs,"['e2e solution design', 'solution architecting', 'oss / bss', 'telecom', 'component design', 'etom']"
29,Presales Architect,Tech Mahindra,"['kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",12-17 Yrs,"['presales consulting', 'siem', 'cyber security', 'managed security services', 'security operations', 'shared services']"
30,Instructional Designer,Accenture,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['instructional design', 'instructional designing', 'articulate', 'walkme', 'lectora', 'development', 'captivate', 'camtasia']"
31,Risk & Compliance Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",3-6 Yrs,"['business process', 'financial analysis', 'risk assessment', 'consulting', 'risk management', 'regulatory compliance', 'forensic', 'fraud investigation']"
32,CN - Strategy - MC - Comms & Media - Networks - 09,Accenture,"['mumbai', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' bangalore/bengaluru', ' delhi / ncr']",1-6 Yrs,"['network operations', 'network planning', 'network deployment', 'wan', 'google cloud platform', 'lan', 'agile', 'ccna']"
33,CN - Strategy - MC - Comms & Media - Non Networks - 09,Accenture,"['mumbai', ' new delhi', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' bangalore/bengaluru']",1-6 Yrs,"['comms & medi', 'wireless', 'telecom', 'pmp', 'bss', 'business analysis', 'billing', 'agile']"
34,Analytics and Modeling Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",12-14 Yrs,"['project management', 'consulting', 'project planning', 'ms office', 'analytics', 'powerbi', 'sharepoint', 'tabluea']"
35,Analystics & Modeling Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",6-8 Yrs,"['bfsi', 'consulting', 'machine learning', 'open source', 'python', 'business process', 'market research', 'outsourcing']"
36,Data & AI Compliance Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",2-3 Yrs,"['business process', 'data management', 'project management', 'consulting', 'auditing', 'information security', 'data governance', 'data privacy']"
37,Analytics and Modeling Analyst,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",3-5 Yrs,"['business process', 'data analysis', 'consulting', 'ms office', 'secondary research', 'outsourcing', 'continuous improvement', 'hr analytics']"
38,CDTS Analyst,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",1-4 Yrs,"['due diligence', 'costing', 'us gaap', 'corporate finance', 'financial services', 'business process', 'transaction services', 'cma']"
39,Content Developer Specialist,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",3-8 Yrs,"['product management', 'business process', 'consulting', 'agile', 'proposal development', 'interpersonal skills', 'team leading', 'sales enablement']"
40,Salesforce Technical Architect,Salesforce,"['mumbai', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' bangalore/bengaluru']",10-15 Yrs,"['production support', 'uml', 'xml', 'javascript', 'flex', 'presales', 'workflow', 'j2ee']"
41,HCL Technologies Hiring For SDET Role,HCLTech,"['hybrid - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['selenium', 'sdet', 'api testing', 'team leading']"
42,HCL Technologies Hiring For SDET Role,HCLTech,"['hybrid - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['selenium', 'sdet', 'automation testing', 'scrum', 'communication', 'jenkin', 'api testing', 'docker']"
43,HCL Technologies Hiring For Java Full Stack Developer,HCLTech,"['hybrid - noida', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",5-10 Yrs,"['spring boot', 'angular', 'java']"
44,IT Infrastructure Project Manager,Capgemini,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",8-13 Yrs,"['project management', 'sap implementation', 'it infrastructure', 'sap migration', 'sap', 'itil certified', 'pmp']"
45,TATA Croma - Lead: Online Merchandiser (Sell Side),Croma,"['hybrid - hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",9-14 Yrs,"['online merchandising', 'sell side', 'category management', 'category planning', 'business development', 'merchandising']"
46,IT Service Desk Engineer,Wipro,"['kolkata', ' hyderabad/secunderabad', ' navi mumbai', ' mysore/mysuru', ' pune', ' chennai', ' bangalore/bengaluru']",0-4 Yrs,"['communication', 'ms applications', 'active directory', 'os ( windows', 'o365', 'vpn', 'troubleshooting skills', 'it helpdesk']"
47,Key Account Manager,Frontier,"['mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",2-7 Yrs,"['b2b sales', 'solution selling', 'enterprise sales', 'corporate sales', 'it infrastructure', 'cloud', 'key account management', 'solution sales']"
48,Azure Data Engineer,Capgemini,"['kolkata', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['python', 'azure data factory', 'sql', 'data flow', 'start schema', 'etl', 'snowflake schema', 'azure']"
49,SAP SD Consultant - Wipro Location - Immediate,Wipro,"['noida', ' bhubaneswar', ' kolkata', ' mumbai', ' new delhi', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru']",6-11 Yrs,"['sap sd', 's/4', 'hana', 'fi', 'communication', 'agile methodology', 'ps', 'sap hana']"
50,SALE Internship - ZARA Stores - Across India,Inditex,"['kolkata', ' thane', ' pune', ' gurgaon/gurugram', ' chennai', ' jaipur', ' surat', ' bangalore/bengaluru', ' mumbai (all areas)']",0-0 Yrs,"['customer service', 'intern', 'retail', 'sales', 'operations', 'communication skills']"
51,Immediate requirement- Vue.JS Developer position,Capgemini,"['kolkata', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",4-8 Yrs,"['vue.js', 'typescript', 'git', 'front - end applications development', 'html', 'css', 'vue js', 'java script']"
52,Business Processes Consultant - Full Stack Developer,SAP,"['mumbai', ' pune', ' gurgaon/gurugram', ' bangalore/bengaluru']",4-8 Yrs,"['business process', 'spring boot', 'java', 'ui5', 'cap', 'devops', 'cds framework', 'java script']"
53,SCM/ASCP Technical Consultant,Hexaware Technologies,"['hybrid - noida', ' mumbai', ' pune', ' chennai', ' bangalore/bengaluru']",6-11 Yrs,"['inv', 'ascp', 'oracle e - business suite', 'oracle application framework', 'advance supply chain planning', 'supply chain planning', 'workflow', 'oaf customization']"
54,React Native Developer,Citiustech,"['hybrid - mumbai', ' indore', ' pune', ' bangalore/bengaluru']",3-8 Yrs,"['javascript', 'react native']"
55,Technical Specialist,Citiustech,"['mumbai', ' pune', ' bangalore/bengaluru']",10-15 Yrs,"['automation', 'coding', 'datastage', 'performance testing', 'agile', 'data structures', 'application development', 'ssis']"
56,Automation Test Engineer-Immediate joiner-Citiustech,Citiustech,"['hybrid - pune', ' bangalore/bengaluru', ' mumbai (all areas)']",3-8 Yrs,"['automation testing', 'java', 'selenium']"
57,Java Microservice Developer,Citiustech,"['hybrid - pune', ' bangalore/bengaluru', ' mumbai (all areas)']",4-7 Yrs,"['java', 'spring', 'microservices']"
58,Powershell Automation Engineer,Capgemini,"['hybrid - pune', ' bangalore/bengaluru', ' mumbai (all areas)']",4-9 Yrs,"['automation', 'powershell', 'python', 'rest api', 'bash shell', 'powershell automation', 'mfoo scripting', 'rest']"
59,Python Developer,Capgemini,"['hybrid - pune', ' bangalore/bengaluru', ' mumbai (all areas)']",4-9 Yrs,"['automation', 'oops', 'rest api development', 'data structures', 'python development', 'python code', 'ci / cd', 'rest api']"
60,"Java Developer: Java, Microservices, Springboot, Java 8",Mindtree,"['pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",4-9 Yrs,"['java', 'springboot', 'microservices', 'c++', 'data structures', 'java fullstack']"
61,QA Automation - Selenium & Cucumber with Payments Domain,Oracle,"['pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",3-8 Yrs,"['automation testing', 'cucumber', 'selenium', 'sql queries', 'test scenarios', 'qa automation', 'test scripts', 'qtp']"
62,Java with Microservices,Atos,"['hybrid - pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",8-13 Yrs,"['java', 'springboot', 'verbal', 'spark', 'microservices', 'restful api', 'j2ee', 'jira']"
63,Automation Test Engineer- java selenium / mum/ban/pune/ Chennai,Citiustech,"['hybrid - pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",4-7 Yrs,"['java', 'selenium', 'api']"
64,Qa Automation Testing Engineer,Oracle,"['pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",3-7 Yrs,"['automation testing', 'payments domain', 'selenium', 'cucumber', 'sql queries', 'communication', 'oracle', 'qa automation']"
65,Technical Lead - Oracle Plsql Developer,Citiustech,"['pune', ' bangalore/bengaluru', ' mumbai (all areas)']",3-8 Yrs,"['performance tuning', 'db design', 'oracle plsql', 'analytical', 'oracle pl / sql', 'shell scripting', 'oracle', 'sql server']"
66,Linux Device Driver Developer,Capgemini,"['mumbai', ' bangalore/bengaluru', ' pune']",3-7 Yrs,"['git', 'linux', 'linux device driver development', 'c programming language', 'arm', 'agile', 'os', 'c']"
67,Backup Administrator - Veritas,Capgemini,"['mumbai', ' pune', ' bangalore/bengaluru']",2-4 Yrs,"['netbackup', 'unix', 'emc networker', 'windows', 'troubleshooting', 'backup administrator', 'sql']"
68,Data Engineer,Indegene,"['temp. wfh - kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",4-6 Yrs,"['data engineering', 'aws', 'etl', 'python']"
69,Regional Sales Manager - Housing Finance,Kotak Mahindra Bank,"['kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",10-18 Yrs,"['regional sales manager', 'housing finance', 'sales management', 'relationship building', 'regional sales']"
70,Associate Vice President - Product Management - Lending/LMS,Paytm,"['kolkata', ' mumbai', ' visakhapatnam', ' hyderabad/secunderabad', ' pune', ' chennai', ' ahmedabad', ' delhi / ncr', ' bangalore/bengaluru']",8-12 Yrs,"['product management', 'it product management', 'consumer internet', 'online product management']"
71,Vice President - Product Management - Consumer Product,Paytm,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr']",10-15 Yrs,"['product management', 'it product management', 'consumer internet', 'chief product officer', 'product development', 'online product management']"
72,Cloud HCM Technical Consultant,Oracle,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['hdl', 'hcm extracts']"
73,Delphi Developer (immediate joiners),Capgemini,"['hybrid - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",6-10 Yrs,"['delphi', 'communication', 'angular js', 'rest services', 'html', 'itil', 'javascript', 'sql']"
74,Mobile Test Engineer,Cognizant,"['kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",4-8 Yrs,"['java', 'appium', 'api', 'selenium', 'cucumber', 'mobile automation testing', 'html', 'android']"
75,AWS Cloud Architect,Capgemini,"['kolkata', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",8-13 Yrs,"['aws', 'sql', 'aws cloud architect']"
76,Implementation Consultant - CPQ,Cognizant,"['temp. wfh - noida', ' kolkata', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' coimbatore', ' bangalore/bengaluru', ' mumbai (all areas)']",6-9 Yrs,"['implementation', 'salesforce cpq']"
77,Health Cloud - Salesforce,Cognizant,"['temp. wfh - noida', ' kolkata', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' coimbatore', ' bangalore/bengaluru', ' mumbai (all areas)']",6-11 Yrs,"['lightning', 'aura', 'lwc', 'cloud', 'cloud configuration']"
78,Microsoft Azure PaaS- Analyst/Senior Anlayst/Team Leader,Accenture,"['hybrid - noida', ' kolkata', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",2-7 Yrs,"['kubernetes', 'c#', 'pyspark', 'css', 'azure hdinsight', 'azure apim', 'azure databricks', 'json']"
79,Business Resiliency Analyst,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",3-8 Yrs,"['business process', 'analytical skills', 'crisis management', 'consulting', 'business continuity planning', 'excel', 'compliance', 'external audit']"
80,Business Operations Senior Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",8-11 Yrs,"['operational excellence', 'sales operations', 'consulting', 'business planning', 'business operations', 'remediation', 'key management', 'marketing communication']"
81,Contract Associate Manager,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",5-10 Yrs,"['procurement', 'strategic planning', 'outsourcing', 'risk management', 'information technology', 'contract drafting', 'business leadership', 'project leadership']"
82,Java Microservices-3 To 10 years,Citiustech,"['hybrid - noida', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",3-8 Yrs,['java']
83,HCL Technologies Hiring For Power Automate Role,HCLTech,"['hybrid - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",5-10 Yrs,"['power automate', 'excel data management', 'office 365', 'vba', 'excel']"
84,Offering Developer,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi ncr']",1-3 Yrs,"['assurance', 'process improvement', 'process automation', 'machine learning', 'oral communication', 'written', 'agile', 'cloud security']"
85,Tech Mahindra Hiring AEM Developers,Tech Mahindra,"['hybrid - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr', ' mumbai (all areas)']",7-12 Yrs,['aem']
86,RSA Identity Governance and Lifecycle (IGL),Capgemini,"['hybrid - noida', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",4-9 Yrs,"['rsa identity governance and lifecycle', 'rsa igl', 'active directory', 'iam reports', 'iam', 'jdbc', 'unix shell scripting', 'sap']"
87,Tech Lead,Tech Mahindra,"['noida', ' mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",5-8 Yrs,"['reactjs', 'ui / ux design', 'javascript', 'es7', ""rest api's"", 'react js', 'redux', 'performance testing']"
88,Deployment Specialist,Cognizant,"['temp. wfh - kolkata', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",6-9 Yrs,"['copado', 'salesforce dx', 'xml', 'salesforce', 'metadata api', 'ant', 'order management', 'blue canvas']"
89,Multiple openings For Teamcenter Developer,HCLTech,"['temp. wfh - noida', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",3-8 Yrs,"['teamcenter', 'itk', 'rac', 'customization and configuration', 'awc', 'bmide']"
90,HCL Technologies Hiring For Big Data Contractor Role,HCLTech,"['hybrid - noida', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",4-9 Yrs,"['hive', 'java', 'spark', 'apache spark', 'patterns', 'data structures', 'git', 'big data']"
91,Cognizant - Excellent Opportunity For Freshers (Night Shift),Cognizant,"['noida', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' coimbatore', ' bangalore/bengaluru', ' mumbai (all areas)']",0-1 Yrs,"['bpo', 'non voice process', 'finance', 'accounts', 'voice process', 'voice', 'non voice', 'bcom']"
92,HCL Hiring || Role: Oracle Plsql || Bangalore Chennai PUNE ||,HCLTech,"['hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",8-12 Yrs,"['oracle', 'unix shell scripting', 'autosys', 'query writing', 'plsql development', 'analytical', 'teamcity', 'oracle pl / sql']"
93,IT Disaster Recovery Coordinator,Capgemini,"['hybrid - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",4-9 Yrs,"['it disaster recovery', 'disaster recovery test', 'disaster recovery planning', 'dr testing', 'disaster recovery', 'business continuity ( bc', 'isms', 'risk management']"
94,SFDC and Mscrm automation Tester,Cognizant,"['temp. wfh - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",9-14 Yrs,"['sfdc', 'salesforce', 'salesforce ui', 'salesforce com', 'agile', 'scrum', 'salesforce admin', 'automation testing']"
95,IAM Technical Architect,Capgemini,"['hybrid - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",9-14 Yrs,"['iam', 'identity access management', 'architecture', 'sailpoint', 'forgerock', 'pingfederate', 'okta', 'netiq']"
96,Senior Partner Solutions Architect - AI,Nvidia,"['mumbai', ' hyderabad/secunderabad', ' pune', ' bangalore/bengaluru']",3-5 Yrs,"['computer science', 'deep learning', 'software design', 'c++', 'data science', 'machine learning', 'manager technology', 'sdk']"
97,Java Developer,Tech Mahindra,"['temp. wfh - hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",5-10 Yrs,"['rdbms', 'spring boot', 'core java development', 'microservices', 'java', 'sql server', 'hibernate', 'kafka']"
98,NAPS recruitment,Fullerton,"['indore', ' nagpur', ' hyderabad/secunderabad', ' pune', ' ahmedabad', ' jaipur', ' surat', ' bangalore/bengaluru', ' delhi / ncr']",0-0 Yrs,"['sales', 'upsell', 'cross selling', 'relationship management', 'channel sales']"
99,CN - Strategy - MC - CFO EV- Digital Finance Transformation- Tax - 11,Accenture,"['kolkata', ' mumbai', ' hyderabad/secunderabad', ' gurgaon/gurugram', ' bangalore/bengaluru']",2-7 Yrs,"['digital finance transformation', 'erp', 'tax processing', 'digital compliance reporting', 'supply chain', 'functional configuration', 'procurement', 'integration']"
